"id";"lon";"lat"
"595643490";8.78411;53.05657
"685008616";8.74079;53.12763
"714331041";8.79409;53.06677
"717465951";8.80994;53.08277
"723143315";8.79133;53.06783
"936392866";8.95409;53.05554
"1077141819";8.89961;53.11619
"1100952507";8.75335;53.12917
"1104668270";8.85159;53.0711
"1132367199";8.86264;53.08984
"1347749960";8.84435;53.04599
"1363687973";8.87422;53.06278
"1380901698";8.84257;53.08843
"1685387216";8.89268;53.05681
"1728404410";8.87299;53.06394
"1735453651";8.87045;53.06496
"1741888004";8.87672;53.06349
"1748915468";8.87826;53.06454
"1751164670";8.87764;53.06549
"1787913939";8.73359;53.03848
"1787927607";8.72966;53.0404
"1787991320";8.73649;53.0403
"1808684153";8.86626;53.10381
"1824970670";8.87097;53.10578
"1847664413";8.8863;53.06133
"1847664423";8.8863;53.06151
"1847736899";8.88355;53.063
"1879943489";8.89561;53.06002
"1919445299";8.79876;53.09602
"1950696256";8.80109;53.09468
"1952593566";8.80847;53.09339
"1983310877";8.81672;53.10492
"1989813780";8.82794;53.07634
"2348043013";8.88033;53.06114
"2366172721";8.87227;53.06312
"2369925667";8.74231;53.04456
"2397419695";8.84315;53.08963
"2444675514";8.89806;53.12734
"2533968669";8.92754;53.0599
"2550943131";8.87734;53.0765
"2555468148";8.93043;53.05944
"2555701391";8.94732;53.06983
"2555701398";8.94986;53.07126
"2555732629";8.94321;53.06673
"2555744908";8.92076;53.07226
"2556175010";8.94405;53.07305
"2556993828";8.94811;53.06623
"2556993844";8.94724;53.06759
"2557098597";8.80071;53.08078
"2620164140";8.79061;53.06211
"2648312573";8.92613;53.0736
"2710545852";8.54838;53.14648
"2710660100";8.57374;53.14094
"2712261826";8.50279;53.19275
"2712269080";8.55661;53.17754
"2712269624";8.6168;53.16513
"2712270684";8.61548;53.16242
"2712270922";8.61428;53.16163
"2712271609";8.61251;53.1607
"2727102635";8.62309;53.13388
"2727963561";8.73646;53.12875
"2767677628";8.53191;53.09933
"2833555726";8.85076;53.04162
"2896061433";8.53102;53.10209
"2904728715";8.53155;53.09616
"2923811070";8.53237;53.09957
"2955728307";8.53166;53.09797
"2973396636";8.77964;53.01453
"3011347797";8.75202;53.18938
"3064684284";8.62944;53.05263
"3098275344";8.75649;53.11395
"3269113766";8.63645;53.05519
"3269113767";8.64142;53.05574
"3348682086";8.58298;53.06366
"3385214094";8.90222;53.11212
"3476572505";8.56917;53.0174
"3558765479";8.53111;53.08951
"3712689487";8.54264;53.0324
"3725031335";8.50931;53.01165
"3782459423";8.87256;53.06338
"3788146832";8.7365;53.04135
"3790549494";8.80326;53.02711
"4038755368";8.54992;53.03108
"4103692105";8.73243;53.03943
"4357976272";8.81045;53.06796
"4472888055";8.53543;53.03662
"4554624585";8.63471;53.02593
"4718441716";8.78255;53.06718
"4771789892";8.8788;53.06194
"4864266683";8.50745;53.03541
"4896500670";8.54395;53.03334
"4896500671";8.54355;53.0258
"4906104671";8.62438;53.05145
"5285603203";8.89177;53.10125
"5285603204";8.89287;53.10239
"5285603205";8.88973;53.10195
"5285603206";8.88644;53.10051
"5482217117";8.88855;53.10046
"5503129128";8.63977;53.03446
"5503627969";8.58415;53.02915
"5532112621";8.78095;53.05801
"5713376236";8.79217;53.06935
