address,categoryName,cid,locatedIn,lat,lon,neighborhood,placeId,postalCode,street,title
Farger Str. 16, 28777 Bremen, Deutschland,Tankstelle,2854360555565338141,,53.194356,8.532153,Blumenthal,ChIJ4c4TwNzTtkcRHc5bX825nCc,28777,Farger Str. 16,Markant Tankstelle
Am Rabenfeld 15, 28757 Bremen, Deutschland,Tankstelle,10600443511558937800,,53.1822679,8.6209532,Vegesack,ChIJMbLvWknTtkcRyJwQ0DVXHJM,28757,Am Rabenfeld 15,Shell Tankstelle
Hammersbecker Str. 78, 28755 Bremen, Deutschland,Tankstelle,6853215481747137712,,53.1837448,8.6219811,Vegesack,ChIJP5nJ1UvTtkcRsOS-tiuDG18,28755,Hammersbecker Str. 78,OIL! Tankstelle
